Delta	P		PP		PcP		PKPab		PKPbc		PKPdf		S		SS		ScS		SKSac		SKSdf	
	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m		m   	s
69	11	7.23	13	39.47	11	31.45	N	N	N	N	N	N	20	13.09	24	38.52	21	9.06	21	N	N	N
70	11	13.41	13	48.11	11	35.67	N	N	N	N	N	N	20	24.88	24	53.93	21	16.93	21	N	N	N
71	11	19.51	13	56.73	11	39.90	N	N	N	N	N	N	20	36.55	25	9.31	21	24.82	21	N	N	N
72	11	25.55	14	5.31	11	44.15	N	N	N	N	N	N	20	48.11	25	24.65	21	32.76	21	N	N	N
73	11	31.51	14	13.86	11	48.42	N	N	N	N	N	N	20	59.55	25	39.95	21	40.72	21	N	N	N
74	11	37.40	14	22.39	11	52.70	N	N	N	N	N	N	21	10.87	25	55.21	21	48.71	21	N	N	N
75	11	43.22	14	30.88	11	56.99	N	N	N	N	N	N	21	22.07	26	10.42	21	56.73	21	N	N	N
76	11	48.96	14	39.34	12	1.30	N	N	N	N	N	N	21	33.15	26	25.60	22	4.78	22	N	N	N
77	11	54.62	14	47.76	12	5.62	N	N	N	N	N	N	21	44.11	26	40.73	22	12.86	22	N	N	N
78	12	0.22	14	56.16	12	9.96	N	N	N	N	N	N	21	54.95	26	55.82	22	20.96	22	N	N	N
79	12	5.74	15	4.52	12	14.30	N	N	N	N	N	N	22	5.68	27	10.86	22	29.08	22	N	N	N
80	12	11.19	15	12.84	12	18.66	N	N	N	N	N	N	22	16.28	27	25.86	22	37.23	22	N	N	N
81	12	16.56	15	21.13	12	23.02	N	N	N	N	N	N	22	26.77	27	40.81	22	45.39	22	N	N	N
82	12	21.85	15	29.39	12	27.40	N	N	N	N	N	N	22	37.13	27	55.71	22	53.57	22	N	N	N
83	12	27.07	15	37.61	12	31.78	N	N	N	N	N	N	22	47.36	28	10.57	23	1.78	22	N	N	N
84	12	32.22	15	45.80	12	36.17	N	N	N	N	N	N	22	57.47	28	25.38	23	10.00	22	N	N	N
85	12	37.28	15	53.96	12	40.57	N	N	N	N	N	N	23	7.45	28	40.14	23	18.23	23	N	N	N
86	12	42.26	16	2.08	12	44.97	N	N	N	N	N	N	23	17.31	28	54.85	23	26.48	23	N	N	N
87	12	47.18	16	10.16	12	49.38	N	N	N	N	N	N	23	27.04	29	9.51	23	34.74	23	N	N	N
