Delta	P		PP		PcP		PKPab		PKPbc		PKPdf		S		SS		ScS		SKSac		SKSdf	
	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s	m	s
45	8	17	10	2	9	58	999	999	999	999	999	999	14	57	18	18	18	16	999	999	999	999
46	8	25	10	13	10	2	999	999	999	999	999	999	15	11	18	36	18	22	999	999	999	999
47	8	33	10	23	10	5	999	999	999	999	999	999	15	25	18	52	18	29	999	999	999	999
48	8	41	10	33	10	9	999	999	999	999	999	999	15	40	19	8	18	35	999	999	999	999
49	8	48	10	42	10	12	999	999	999	999	999	999	15	54	19	24	18	42	999	999	999	999
50	8	56	10	51	10	16	999	999	999	999	999	999	16	8	19	41	18	49	999	999	999	999
51	9	4	10	60	10	20	999	999	999	999	999	999	16	22	19	56	18	56	999	999	999	999
52	9	11	11	9	10	23	999	999	999	999	999	999	16	35	20	12	19	3	999	999	999	999
53	9	18	11	18	10	27	999	999	999	999	999	999	16	49	20	28	19	10	999	999	999	999
54	9	26	11	27	10	31	999	999	999	999	999	999	17	3	20	44	19	17	999	999	999	999
55	9	33	11	36	10	35	999	999	999	999	999	999	17	16	20	60	19	24	999	999	999	999
56	9	40	11	45	10	39	999	999	999	999	999	999	17	30	21	15	19	31	999	999	999	999
57	9	47	11	54	10	43	999	999	999	999	999	999	17	43	21	31	19	38	999	999	999	999
58	9	54	12	3	10	47	999	999	999	999	999	999	17	56	21	47	19	45	999	999	999	999
59	10	1	12	12	10	50	999	999	999	999	999	999	18	9	22	3	19	53	999	999	999	999
60	10	8	12	21	10	54	999	999	999	999	999	999	18	22	22	18	20	0	999	999	999	999
61	10	15	12	29	10	58	999	999	999	999	999	999	18	35	22	34	20	8	999	999	999	999
62	10	22	12	38	11	3	999	999	999	999	999	999	18	47	22	50	20	15	999	999	999	999
63	10	29	12	47	11	7	999	999	999	999	999	999	18	60	23	5	20	23	20	23	999	999
64	10	35	12	56	11	11	999	999	999	999	999	999	19	12	23	21	20	30	20	30	999	999
65	10	42	13	5	11	15	999	999	999	999	999	999	19	25	23	36	20	38	20	38	999	999
66	10	48	13	13	11	19	999	999	999	999	999	999	19	37	23	52	20	46	20	45	999	999
67	10	55	13	22	11	23	999	999	999	999	999	999	19	49	24	8	20	53	20	53	999	999
68	11	1	13	31	11	27	999	999	999	999	999	999	20	1	24	23	21	1	21	1	999	999
